budget,value,multiplier,opt,vcg,bfa,opt_pay,vcg_pay,bfa_pay,vcg_opt,bfa_opt,vcg_opt_pay,bfa_opt_pay
225,corridors,1.1,430.5,478.5,252,225,877.5,212.95,1.11149826,0.58536585,3.9,0.94644444
225,corridors,1.1,300.9,321.5,199,212,682.5,221.97,1.06846128,0.66134929,3.03333333,0.98653333
225,corridors,1.1,245.1,286.4,150,218,668.2,200.56,1.16850265,0.6119951,2.96977778,0.89137778
225,corridors,1.1,378.1,378.1,220,195,677.3,148.45,1,0.58185665,3.01022222,0.65977778
225,corridors,1.1,346.2,346.2,205.9,195,639.6,175.95,1,0.59474292,2.84266667,0.782
225,corridors,1.1,206.8,206.8,125.5,220,504.4,217.15,1,0.60686654,2.24177778,0.96511111
225,corridors,1.1,360.3,376.1,193,196,729.3,150.57,1.04385235,0.53566472,3.24133333,0.6692
225,corridors,1.1,454.8,454.8,230,225,803.4,198.04,1,0.5057168,3.57066667,0.88017778
225,corridors,1.1,504.9,504.9,304,198,830.7,215.14,1,0.60209943,3.692,0.95617778
225,corridors,1.1,361.8,361.8,208.4,219,686.4,157.05,1,0.57600884,3.05066667,0.698
1019.5,corridors,1.1,407.8,407.8,255.6,184,699.4,1009.3,1,0.62677783,0.68635918,0.99048086
1019,corridors,1.1,256.4,256.4,162.9,133,460.2,809.26,1,0.63533541,0.45161923,0.79417076
1019,corridors,1.1,488.4,488.4,276,154,759.2,883.83,1,0.56511057,0.74504416,0.86735034
1019,corridors,1.1,579.1,579.1,438.6,247,976.3,1003.57,1,0.75738214,0.95809617,0.9848577
1019,corridors,1.1,419,419,200.7,197,728,977.6,1,0.47899761,0.71442591,0.95937193
1019,corridors,1.1,394.3,394.3,165.1,291,809.9,911.18,1,0.41871671,0.79479882,0.89419038
1019,corridors,1.1,334.5,334.5,163,210,643.5,823.28,1,0.48729447,0.63150147,0.80792934
1019,corridors,1.1,358.2,358.2,182.4,205,665.6,933.33,1,0.50921273,0.6531894,0.91592738
1019,corridors,1.1,364.7,364.7,216.7,314,802.1,991.09,1,0.594187,0.78714426,0.9726104
1019,corridors,1.1,329.2,329.2,210.7,157,574.6,914.97,1,0.64003645,0.56388616,0.89790972
914.75,corridors,1.1,365.9,365.9,147,293,778.7,812.58,1,0.40174911,0.85196937,0.8890372
914,corridors,1.1,412.8,412.8,200.6,256,790.4,868.82,1,0.48594961,0.86477024,0.95056893
914,corridors,1.1,433.2,433.2,207.5,262,821.6,849.58,1,0.47899354,0.89890591,0.9295186
914,corridors,1.1,402.9,402.9,206.2,201,713.7,790.7,1,0.51178953,0.78085339,0.86509847
914,corridors,1.1,369.6,369.6,201.3,286,774.8,846.39,1,0.54464286,0.84770241,0.92602845
914,corridors,1.1,401.3,401.3,207.6,218,731.9,862.2,1,0.51731871,0.80076586,0.94332604
914,corridors,1.1,386.7,386.7,176.6,193,685.1,786.33,1,0.45668477,0.74956236,0.86031729
914,corridors,1.1,483.8,483.8,196,141,738.4,764.97,1,0.40512609,0.80787746,0.83694748
914,corridors,1.1,436,436,194,246,806,884.83,1,0.44495413,0.88183807,0.96808534
